id,наименование,категория,id_категории,цена,рейтинг,отзывы
1,Холодильник двухкамерный NoFrost,Бытовая техника,1,85999,4.7,Очень тихий, много места;Дверь немного люфтит
2,Смартфон SuperPhone X,Электроника,2,69999,4.8,Отличная камера;Быстрый процессор
3,Ноутбук UltraBook Pro,Электроника,2,129999,4.6,Мощный для работы;Легкий и тонкий
4,Стиральная машина AutoWash,Бытовая техника,1,45999,4.5,Тихая стирка;Много программ
5,Телевизор SmartTV 55,Электроника,2,78999,4.7,Яркая картинка;Умные функции
6,Кофемашина AutoBrew,Бытовая техника,1,32999,4.4,Вкусный кофе;Простая в уходе
7,Планшет TabMax,Электроника,2,45999,4.3,Хороший экран;Долго держит заряд
8,Микроволновая печь QuickHeat,Бытовая техника,1,15999,4.2,Быстро греет;Компактная
9,Игровая консоль GameStation,Электроника,2,39999,4.9,Отличная графика;Много игр
10,Робот-пылесос CleanBot,Бытовая техника,1,29999,4.1,Хорошо убирает;Тихий
11,Наушники Wireless Pro,Электроника,2,19999,4.5,Отличный звук;Удобные
12,Умные часы SmartWatch,Электроника,2,24999,4.4,Много функций;Стильный дизайн
13,Электрический чайник QuickBoil,Бытовая техника,1,8999,4.3,Быстро кипятит;Экономичный
14,Игровая мышь Gamer Pro,Электроника,2,7999,4.6,Точный сенсор;Удобная
15,Механическая клавиатура ClickPro,Электроника,2,15999,4.7,Приятные клавиши;Качественная
16,Фитнес-браслет FitBand Pro,Электроника,2,8999,4.5,Точный пульс;Водонепроницаемый
17,Электрическая зубная щетка SonicClean,Красота и здоровье,3,5999,4.6,Эффективная чистка;Нежные щетинки
18,Умная колонка SoundSphere,Электроника,2,12999,4.7,Четкий звук;Хороший микрофон
19,Электросамокат CityRide,Транспорт,4,45999,4.4,Мощный мотор;Складной
20,Монитор 27" UltraHD,Электроника,2,34999,4.8,Яркая матрица;Тонкие рамки
21,Электрогриль FamilyGrill,Кухонная техника,5,15999,4.3,Равномерный нагрев;Легко мыть
22,Стабилизатор напряжения PowerGuard,Электроника,2,8999,4.2,Надежная защита;Тихая работа
23,Соковыжималка FreshJuice,Кухонная техника,5,12999,4.4,Много сока;Мощная
24,Велокомпьютер BikeComputer,Спорт,6,4999,4.1,Точные данные;Водонепроницаемый
25,Электрическая плитка DoubleBurner,Кухонная техника,5,6999,4.0,Быстрый нагрев;Компактная
26,Умный дверной замок SmartLock,Безопасность,7,18999,4.6,Надежный;Простая установка
27,Проектор HomeCinema,Электроника,2,27999,4.5,Яркое изображение;Тихий вентилятор
28,Электробритва SteelShave,Красота и здоровье,3,11999,4.7,Близкое бритье;Удобная
29,Портативная колонка MiniBoom,Электроника,2,7999,4.3,Громкий звук;Долгая работа
30,Кухонные весы SmartScale,Кухонная техника,5,2999,4.2,Точные;Стильный дизайн
31,Электронная книга ReaderPro,Электроника,2,14999,4.8,Не устают глаза;Легкая
32,Массажер NeckRelax,Красота и здоровье,3,8999,4.4,Снимает напряжение;Несколько режимов
33,Беспроводной роутер SpeedLink,Электроника,2,6999,4.5,Стабильный сигнал;Простая настройка
34,Аэрогриль HealthGrill,Кухонная техника,5,21999,4.3,Полезное питание;Вместительный
35,Умная лампочка ColorBulb,Электроника,2,2999,4.1,Яркий свет;Управление с телефона
